flux,wvl,err
0.20729514956474304,4001.77,0.17870485138633677
0.35954174399375916,4007.19,0.16391610475613566
0.5017942786216736,4012.62,0.1488381026488962
0.605615496635437,4018.06,0.17960979128650253
0.6542977094650269,4023.5,0.1920399275317357
0.6478587985038757,4028.95,0.1744902942736766
0.6005594730377197,4034.41,0.17260369130784986
0.5333188772201538,4039.88,0.1694706464185547
0.46441587805747986,4045.35,0.17710850818485668
0.4024350643157959,4050.83,0.1711812321100911
0.34572386741638184,4056.32,0.16946253890419272
0.28691500425338745,4061.81,0.16048653185487025
0.2195415198802948,4067.32,0.15988312884314831
0.14430594444274902,4072.83,0.16696567848185326
0.06912663578987122,4078.34,0.18498381067816524
0.004864309448748827,4083.87,0.18295904325043155
-0.040709737688302994,4089.4,0.16939303496134075
-0.06904427707195282,4094.94,0.15828528180651
-0.09095090627670288,4100.49,0.15460135622979262
-0.12172015011310577,4106.04,0.1556331276870844
-0.17319297790527344,4111.61,0.15913578925384386
-0.24601778388023376,4117.18,0.15120626544196974
-0.32774609327316284,4122.75,0.1509497170635764
-0.3972022235393524,4128.34,0.14443450934926827
-0.4326212406158447,4133.93,0.14760185164142295
-0.4223164916038513,4139.53,0.14168070730309434
-0.3700203597545624,4145.14,0.13550535223035984
-0.29435497522354126,4150.75,0.13130335933305487
-0.22113735973834991,4156.38,0.13203105534507556
-0.1739669293165207,4162.01,0.13107231723089557
-0.1646910011768341,4167.65,0.13109562681626558
-0.19047294557094574,4173.29,0.13321546006186585
-0.23684458434581757,4178.95,0.11810487775601121
-0.28485119342803955,4184.61,0.09086532678343597
-0.31954485177993774,4190.28,0.092030350191285
-0.33479470014572144,4195.95,0.0886610758761046
-0.3336538076400757,4201.64,0.08872147402136035
-0.32412639260292053,4207.33,0.08867431912836816
-0.31375250220298767,4213.03,0.092003394934286
-0.3055039048194885,4218.74,0.09458120337332356
-0.2971988320350647,4224.45,0.09423340181964207
-0.2841234803199768,4230.18,0.1179449327340324
-0.26325613260269165,4235.91,0.11879669268382526
-0.23624558746814728,4241.64,0.11215760470034927
-0.20962020754814148,4247.39,0.11964190892848711
-0.19255538284778595,4253.14,0.11774906037068408
-0.19261635839939117,4258.91,0.11889371662196555
-0.2126772552728653,4264.68,0.12362249544892093
-0.24955525994300842,4270.45,0.1226971487332672
-0.2957165539264679,4276.24,0.12322963243487509
-0.3418009281158447,4282.03,0.12222453902951742
-0.3800658583641052,4287.83,0.13009875826786313
-0.4058569669723511,4293.64,0.1301172319672605
-0.4178037643432617,4299.46,0.13012775021901316
-0.4168374538421631,4305.28,0.1351686982125221
-0.40504327416419983,4311.12,0.14222354690553304
-0.38502901792526245,4316.96,0.14289549792745787
-0.3599548041820526,4322.8,0.14516244719290933
-0.333543986082077,4328.66,0.13967248867813734
-0.31003889441490173,4334.52,0.1392641245454946
-0.29285314679145813,4340.4,0.12183668099377558
-0.28357091546058655,4346.28,0.12125809079092353
-0.2808971405029297,4352.16,0.12291678337975107
-0.2812029719352722,4358.06,0.11183696515402808
-0.2802157998085022,4363.96,0.10927698030243468
-0.27519476413726807,4369.88,0.10698717800110069
-0.2665625810623169,4375.8,0.10092878898490681
-0.2579263746738434,4381.72,0.10072556295192084
-0.25432872772216797,4387.66,0.10208531228560352
-0.25970882177352905,4393.6,0.09867202549813964
-0.2746330201625824,4399.56,0.08789879844643132
-0.2956600487232208,4405.52,0.08756176286901893
-0.31680411100387573,4411.49,0.08686404824413677
-0.332118421792984,4417.46,0.07142276099858098
-0.3383851647377014,4423.45,0.0568128341989598
-0.33603742718696594,4429.44,0.059062411059282206
-0.32841479778289795,4435.44,0.05280650600226445
-0.3193020224571228,4441.45,0.05180932162386465
-0.31044691801071167,4447.46,0.05241193824144796
-0.3002232015132904,4453.49,0.05154559286841011
-0.28441759943962097,4459.52,0.050247270876199415
-0.2583882212638855,4465.56,0.05197494878659877
-0.21975292265415192,4471.61,0.05253358732914949
-0.16999097168445587,4477.67,0.06002553467560053
-0.11422489583492279,4483.74,0.05982120570391545
-0.05941825360059738,4489.81,0.06529273171268778
-0.011524751782417297,4495.89,0.06627755473692626
0.0261660348623991,4501.98,0.06409816177904197
0.05363299325108528,4508.08,0.0626366510488985
0.07325706630945206,4514.19,0.06473101164365422
0.08832638710737228,4520.31,0.066197580162999
0.1018596962094307,4526.43,0.0677386882840449
0.11641888320446014,4532.56,0.06852397152000751
0.13452252745628357,4538.7,0.06897974630153195
0.15915676951408386,4544.85,0.06517263465351299
0.1934908926486969,4551.01,0.06425880212760073
0.23954732716083527,4557.17,0.06858781918503706
0.29683512449264526,4563.35,0.07213481463624546
0.36090001463890076,4569.53,0.07383676249674821
0.4245261549949646,4575.72,0.07510819453065726
0.47976866364479065,4581.92,0.07604592851246181
0.5211386680603027,4588.13,0.07502293835498021
0.5478442907333374,4594.34,0.07128966618320395
0.5640474557876587,4600.57,0.07166626820604206
0.5760324597358704,4606.8,0.06831921480169946
0.588505744934082,4613.04,0.06741776031765276
0.6010069251060486,4619.29,0.06804667252591119
0.6070448756217957,4625.55,0.0734149091456133
0.5966107249259949,4631.81,0.0700391686830218
0.5611900091171265,4638.09,0.07553673906876804
0.4991089403629303,4644.37,0.07365195656976939
0.4181218445301056,4650.66,0.07333482873432447
0.334116131067276,4656.96,0.07191525049216989
0.265788197517395,4663.27,0.07217838226403872
0.22758257389068604,4669.59,0.07394611075624356
0.2240130752325058,4675.92,0.07245625722205015
0.2479376345872879,4682.25,0.0683049027081158
0.2837405502796173,4688.59,0.06438948875408515
