wvl,flux,err
4001.77,0.23134976625442505,0.15765023590374996
4007.19,0.2911515533924103,0.07219447615420828
4012.62,0.32370102405548096,0.07256985149216491
4018.06,0.3211410939693451,0.061596857817651
4023.5,0.2894321382045746,0.05468947452264138
4028.95,0.243043914437294,0.05012212379288135
4034.41,0.19696001708507538,0.04844532189882379
4039.88,0.16023039817810059,0.04534425860544259
4045.35,0.13430975377559662,0.04265389783007674
4050.83,0.11569541692733765,0.04045219098286642
4056.32,0.10035659372806549,0.02524600833464538
4061.81,0.08632967621088028,0.020080326634555147
4067.32,0.07332193851470947,0.02190059701801159
4072.83,0.06077999249100685,0.019554072447162438
4078.34,0.04621858149766922,0.02239007799670776
4083.87,0.025869399309158325,0.022511741729093315
4089.4,-0.0025206401478499174,0.02168678866668996
4094.94,-0.037382110953330994,0.02218520958981742
4100.49,-0.07273326814174652,0.023637230780132402
4106.04,-0.1005612313747406,0.02407709724254949
4111.61,-0.11494007706642151,0.023362281204316025
4117.18,-0.11490543186664581,0.022454968583574462
4122.75,-0.10519015043973923,0.024413425875410216
4128.34,-0.09366515278816223,0.024666815643878865
4133.93,-0.08774815499782562,0.024920523119125012
4139.53,-0.09126831591129303,0.024912222994272492
4145.14,-0.10368158668279648,0.02425865155370797
4150.75,-0.12129515409469604,0.024397603088129487
4156.38,-0.13965201377868652,0.024116911376587766
4162.01,-0.15520083904266357,0.02374802789360368
4167.65,-0.16623826324939728,0.02338371985400444
4173.29,-0.17252390086650848,0.020012785979475995
4178.95,-0.17475920915603638,0.019796318004010126
4184.61,-0.17407648265361786,0.017494000280821206
4190.28,-0.17187465727329254,0.017844919260840975
4195.95,-0.16954854130744934,0.01781864618867808
4201.64,-0.16809317469596863,0.016812582776916885
4207.33,-0.16782644391059875,0.017708879353668557
4213.03,-0.16850024461746216,0.01759830983527682
4218.74,-0.16997666656970978,0.017639008716895308
4224.45,-0.1729716807603836,0.017673065363672875
4230.18,-0.17919829487800598,0.015376763370074981
4235.91,-0.19040623307228088,0.015716587738359003
4241.64,-0.20681977272033691,0.016394466133937337
4247.39,-0.2260517179965973,0.015980146785449532
4253.14,-0.24330009520053864,0.016494971447642615
4258.91,-0.2537257671356201,0.017590947459304635
4264.68,-0.2551758587360382,0.0174376170793444
4270.45,-0.2503129839897156,0.018435660446775557
4276.24,-0.24591407179832458,0.019267789809157353
4282.03,-0.24980205297470093,0.021593505930569638
4287.83,-0.26663708686828613,0.022565970442520983
4293.64,-0.2951143980026245,0.022846076325563857
4299.46,-0.3281427323818207,0.022617622404117885
4305.28,-0.3560321629047394,0.023043747714161192
4311.12,-0.3712119162082672,0.022966031314025158
4316.96,-0.3711356222629547,0.02315830833978689
4322.8,-0.35886576771736145,0.02230434535468514
4328.66,-0.3402567207813263,0.022708050912054942
4334.52,-0.32052475214004517,0.02287469778153713
4340.4,-0.3017277121543884,0.023043102290715857
4346.28,-0.28318363428115845,0.022202251855745113
4352.16,-0.26352614164352417,0.02183129587433363
4358.06,-0.24319373071193695,0.021934817852170628
4363.96,-0.22546333074569702,0.02120048234893066
4369.88,-0.21472272276878357,0.019267793052016167
4375.8,-0.21389637887477875,0.019668459967368643
4381.72,-0.22203852236270905,0.019702358685331305
4387.66,-0.23448392748832703,0.02036518871538986
4393.6,-0.2450789511203766,0.018847872222776913
4399.56,-0.2495473474264145,0.01735577071134601
4405.52,-0.24752119183540344,0.017912273993220918
4411.49,-0.24230533838272095,0.018274781891141876
4417.46,-0.23819610476493835,0.018820221402208976
4423.45,-0.23720744252204895,0.018307682829048495
4429.44,-0.23730126023292542,0.01605856515453399
4435.44,-0.2331564873456955,0.016745303906686385
4441.45,-0.21918751299381256,0.01604363513835517
4447.46,-0.1930050104856491,0.01677952539272273
4453.49,-0.1570739448070526,0.016159292340178166
4459.52,-0.11808598041534424,0.016825897363777344
4465.56,-0.08350859582424164,0.01695773411351774
4471.61,-0.05817361921072006,0.018091281936389977
4477.67,-0.042106062173843384,0.018450861587289775
4483.74,-0.03096727281808853,0.018336241440085003
4489.81,-0.01873292215168476,0.019310281331309007
4495.89,-0.0009800634579733014,0.018564814601663992
4501.98,0.022910410538315773,0.018559111115613088
4508.08,0.049862340092659,0.019192619122697922
4514.19,0.07524144649505615,0.021080773041208097
4520.31,0.09577199816703796,0.020878654143483617
4526.43,0.11157973855733871,0.02104151336241495
4532.56,0.12639544904232025,0.02083410956060055
4538.7,0.14559872448444366,0.022832632906342923
4544.85,0.17347130179405212,0.022840242138680515
4551.01,0.21090056002140045,0.02270352936852892
4557.17,0.25463491678237915,0.022795744107278467
4563.35,0.2987891435623169,0.022229134886706026
4569.53,0.3368212878704071,0.022464201951648673
4575.72,0.3644900321960449,0.021849339133155447
4581.92,0.380943238735199,0.02185844213829626
4588.13,0.388613760471344,0.020931667146549378
4594.34,0.39178231358528137,0.021863646126850232
4600.57,0.3947444260120392,0.02238023165129052
4606.8,0.4003669321537018,0.021022769177517404
4613.04,0.4096585214138031,0.02630033658554422
4619.29,0.4220828413963318,0.026235191670146533
4625.55,0.43618276715278625,0.025940962044976323
4631.81,0.44996902346611023,0.023075857318913325
4638.09,0.46105635166168213,0.0228166939341266
4644.37,0.4664498567581177,0.02277121392509253
4650.66,0.46295884251594543,0.02336151256197791
4656.96,0.44794267416000366,0.022571308481339526
4663.27,0.4205109179019928,0.022702097939003584
4669.59,0.382418692111969,0.022612845107977335
4675.92,0.3380111753940582,0.021187928522164622
4682.25,0.29303011298179626,0.02095604337099036
4688.59,0.25231829285621643,0.020898260347841608
