flux,wvl,err
0.007301641162484884,4001.77,0.015698358811169797
-0.0052185566164553165,4007.19,0.010474136185364939
-0.02224334329366684,4012.62,0.010303425805074356
-0.04201636463403702,4018.06,0.011443857877152677
-0.06067882478237152,4023.5,0.011803806263756357
-0.07392247766256332,4028.95,0.01116298419513362
-0.07903693616390228,4034.41,0.010455250515859387
-0.07652069628238678,4039.88,0.010490924001638018
-0.07016174495220184,4045.35,0.012069715790527432
-0.06541018187999725,4050.83,0.01245779702544098
-0.06703715026378632,4056.32,0.012249160515150894
-0.07711739838123322,4061.81,0.012187002482911808
-0.09451814740896225,4067.32,0.012609066088406817
-0.11563390493392944,4072.83,0.013025793808426757
-0.1363605260848999,4078.34,0.012697594060697436
-0.15378664433956146,4083.87,0.012953848519190557
-0.16676627099514008,4089.4,0.013041878854323513
-0.17587560415267944,4094.94,0.013134800696352814
-0.18241733312606812,4100.49,0.01356012507164594
-0.18762002885341644,4106.04,0.014064795231863688
-0.19232656061649323,4111.61,0.014239229257547786
-0.19704483449459076,4117.18,0.014205110155747802
-0.20222805440425873,4122.75,0.014681930004587023
-0.20827211439609528,4128.34,0.014562020065612625
-0.2151554971933365,4133.93,0.014724724862501684
-0.22218340635299683,4139.53,0.013341357371902465
-0.2279668003320694,4145.14,0.013186619962817192
-0.2309611439704895,4150.75,0.01291127684677536
-0.23033946752548218,4156.38,0.012321154932164612
-0.2266249656677246,4162.01,0.01247561663691203
-0.22176647186279297,4167.65,0.01235877938802987
-0.21844691038131714,4173.29,0.011718682299341459
-0.21896009147167206,4178.95,0.010505165210583065
-0.2243000864982605,4184.61,0.010716826296883957
-0.23384520411491394,4190.28,0.010486313198427766
-0.24580448865890503,4195.95,0.01040304101017483
-0.2582215964794159,4201.64,0.010146667826717744
-0.2696930170059204,4207.33,0.00939880128451999
-0.27989768981933594,4213.03,0.009142755894505281
-0.28931811451911926,4218.74,0.009118125276184143
-0.29870131611824036,4224.45,0.010015250766948203
-0.3085801899433136,4230.18,0.010246571973179618
-0.3188680410385132,4235.91,0.010462036819973512
-0.32895326614379883,4241.64,0.010756151714846033
-0.3378483057022095,4247.39,0.010840839066489518
-0.3442453444004059,4253.14,0.011140811662598504
-0.3468104898929596,4258.91,0.011127186426949112
-0.3443657159805298,4264.68,0.011467868780400996
-0.3364201784133911,4270.45,0.011315062895963861
-0.3235741853713989,4276.24,0.012627329104488147
-0.3078272342681885,4282.03,0.013024672094906594
-0.29208552837371826,4287.83,0.013479292865846319
-0.27918070554733276,4293.64,0.015685035851479772
-0.270506352186203,4299.46,0.014919843634767952
-0.2650551497936249,4305.28,0.014667791259254397
-0.2594442665576935,4311.12,0.015142480250475345
-0.2492990642786026,4316.96,0.015985884505157304
-0.23127496242523193,4322.8,0.014879530168875126
-0.2047906368970871,4328.66,0.016501917248936925
-0.1727435290813446,4334.52,0.016504658828033952
-0.13999967277050018,4340.4,0.017590601038413513
-0.11124847084283829,4346.28,0.01836177295549168
-0.08806122839450836,4352.16,0.019142668894743864
-0.06768007576465607,4358.06,0.019172900523309926
-0.04415867105126381,4363.96,0.01928246853497642
-0.010867724195122719,4369.88,0.020254992928598958
0.0356697216629982,4375.8,0.020455037548220017
0.09355845302343369,4381.72,0.021193807574197872
0.15568912029266357,4387.66,0.021800655891969677
0.21163956820964813,4393.6,0.02099946732678313
0.2524227201938629,4399.56,0.022205175164687813
0.2734224796295166,4405.52,0.021119088105332594
0.27663686871528625,4411.49,0.021127288984277934
0.26919853687286377,4417.46,0.02110063849958777
0.26012593507766724,4423.45,0.023063179681751134
0.2565132975578308,4429.44,0.023245623804258164
0.2608262598514557,4435.44,0.023548199782211617
0.2706581652164459,4441.45,0.02168705894637112
0.2806086540222168,4447.46,0.021692075575012095
0.28532740473747253,4453.49,0.01955723239920401
0.28186386823654175,4459.52,0.0171841823968548
0.27057576179504395,4465.56,0.01703327280775988
0.25409358739852905,4471.61,0.016915436988748832
0.2354038506746292,4477.67,0.01773012329962539
0.21619658172130585,4483.74,0.018497519055348445
0.19646133482456207,4489.81,0.01874868923891673
0.17528270184993744,4495.89,0.016056543217170524
0.15241752564907074,4501.98,0.01618846006864941
0.1292717009782791,4508.08,0.016989759056802826
0.10871303081512451,4514.19,0.016632507855901223
0.09374891966581345,4520.31,0.01622776157986663
0.08588393777608871,4526.43,0.015798827502686043
0.08411189168691635,4532.56,0.015290308337819268
0.08538537472486496,4538.7,0.01392465930780754
0.08607995510101318,4544.85,0.01340353587375545
0.08373019099235535,4551.01,0.013414197166121017
0.07799787819385529,4557.17,0.013248959872694128
0.07031404972076416,4563.35,0.01300410210460629
0.06265080720186234,4569.53,0.013129808477020324
0.05614711344242096,4575.72,0.013250197237862811
0.050724223256111145,4581.92,0.012303407053384011
0.04577551782131195,4588.13,0.013399527500823523
0.04139908775687218,4594.34,0.014333253554875322
0.039048559963703156,4600.57,0.01668185206587466
0.04092704877257347,4606.8,0.01625667557423468
0.0480845645070076,4613.04,0.016176220765721
0.058479759842157364,4619.29,0.015826214745060234
0.06635057926177979,4625.55,0.015732266118568296
0.06381626427173615,4631.81,0.01605211359553822
0.04431216046214104,4638.09,0.016131544624133905
0.006219201255589724,4644.37,0.015957362294181817
-0.045434776693582535,4650.66,0.01604878178393746
-0.1002272292971611,4656.96,0.017123537001045925
-0.14632652699947357,4663.27,0.017269827941983902
-0.1752830296754837,4669.59,0.017228944768920753
-0.18519504368305206,4675.92,0.018115662860046806
-0.18063560128211975,4682.25,0.018169473205501822
-0.16946299374103546,4688.59,0.018121986713244474
