wvl,flux,err
4001.77,-0.025415567681193352,0.14158442776423677
4007.19,-0.024722985923290253,0.10221937109475993
4012.62,-0.023574035614728928,0.08753547407570224
4018.06,-0.022062042728066444,0.08022525590446135
4023.5,-0.02030901424586773,0.07350780540637986
4028.95,-0.018447160720825195,0.06671056630903409
4034.41,-0.016620144248008728,0.06500067332192562
4039.88,-0.014971593394875526,0.06239654852581711
4045.35,-0.013638127595186234,0.060542333059279904
4050.83,-0.01273463387042284,0.062343209883351125
4056.32,-0.012355993501842022,0.054697878067375444
4061.81,-0.012567582540214062,0.05488503731876187
4067.32,-0.013406125828623772,0.05057626897357557
4072.83,-0.014870580285787582,0.049098773316403645
4078.34,-0.016928642988204956,0.04699000486767794
4083.87,-0.019529927521944046,0.045589104929326815
4089.4,-0.02258199453353882,0.04395694964787993
4094.94,-0.02598770335316658,0.047623098872834335
4100.49,-0.029633192345499992,0.04966693497277447
4106.04,-0.03339298814535141,0.050143259684868574
4111.61,-0.03716472536325455,0.051289198221602016
4117.18,-0.04082898050546646,0.05074428036213382
4122.75,-0.04429660364985466,0.05029403716061882
4128.34,-0.047511111944913864,0.04997703196022812
4133.93,-0.050416480749845505,0.04834850750178979
4139.53,-0.053000692278146744,0.04797296350277197
4145.14,-0.055271971970796585,0.049235981291448606
4150.75,-0.05725952237844467,0.05239403818621029
4156.38,-0.05902480334043503,0.04762016121387859
4162.01,-0.0606314018368721,0.0456433611048228
4167.65,-0.06216345354914665,0.04611820786320906
4173.29,-0.06370286643505096,0.04680074800454862
4178.95,-0.06533674150705338,0.04646584528290172
4184.61,-0.06713125109672546,0.04755405545734046
4190.28,-0.0691453292965889,0.047609499601773124
4195.95,-0.07141008973121643,0.04651647806803718
4201.64,-0.07394355535507202,0.042685631212267115
4207.33,-0.07672053575515747,0.04069899101267464
4213.03,-0.0797005146741867,0.041646150345165056
4218.74,-0.08281215280294418,0.04039412511201184
4224.45,-0.08595437556505203,0.04084867057865746
4230.18,-0.08902255445718765,0.0392244376130281
4235.91,-0.09187579900026321,0.03878353967944792
4241.64,-0.09437667578458786,0.03828654230964059
4247.39,-0.09639452397823334,0.0371877655176856
4253.15,-0.09778907150030136,0.0376267780506
4258.91,-0.09843606501817703,0.033827045465747205
4264.68,-0.09823355823755264,0.03595524595969914
4270.45,-0.0971011370420456,0.03597630222582151
4276.24,-0.09498052299022675,0.03633791646421202
4282.03,-0.09185011684894562,0.033480925111643606
4287.83,-0.08771020174026489,0.04224712554302393
4293.64,-0.08259163796901703,0.04089757341022025
4299.46,-0.07655178755521774,0.040977293989227004
4305.28,-0.06968280673027039,0.04176716610878952
4311.12,-0.06206125393509865,0.04193033379877753
4316.96,-0.05382384732365608,0.040731558582711554
4322.8,-0.045093126595020294,0.038418289933443185
4328.66,-0.035961348563432693,0.0382311684746933
4334.52,-0.02657705545425415,0.03801580251719512
4340.4,-0.01701916567981243,0.03755217968465162
4346.28,-0.007418887224048376,0.03919845900680149
4352.16,0.00213871942833066,0.03910708944976265
4358.06,0.011616830714046955,0.03915686567748654
4363.96,0.020929183810949326,0.03848718728395967
4369.88,0.030067840591073036,0.03917142816057964
4375.8,0.03897393122315407,0.03854531659597224
4381.72,0.047630008310079575,0.03842679481486592
4387.66,0.056052494794130325,0.0391173282275654
4393.6,0.06420070677995682,0.04034943168499866
4399.56,0.07208803296089172,0.029794601865825818
4405.52,0.07966682314872742,0.029776499607347694
4411.48,0.086908720433712,0.030344269883048162
4417.46,0.09379731863737106,0.029625181643479916
4423.45,0.10026612132787704,0.0288341885964529
4429.44,0.10623889416456223,0.02913993906409938
4435.44,0.11165009438991547,0.02880965547174271
4441.45,0.11641398072242737,0.02901184680321231
4447.46,0.12043289840221405,0.02973265056369357
4453.49,0.12362968921661377,0.029417109150129725
