flux,wvl,err
0.09730371087789536,4001.77,0.06869627926585843
0.1450502872467041,4007.19,0.034817933300321666
0.1675199270248413,4012.62,0.03065572025437846
0.1691858470439911,4018.06,0.02603036472402849
0.15864144265651703,4023.5,0.023534919635424072
0.1424580067396164,4028.95,0.022371926515514624
0.12255876511335373,4034.41,0.022897014989762394
0.09785012900829315,4039.88,0.021412727812992038
0.0680595114827156,4045.35,0.020558387745604475
0.03603970259428024,4050.83,0.019764676347416157
0.007160205394029617,4056.32,0.014473766417026395
-0.013967196457087994,4061.81,0.014943975974163429
-0.026676010340452194,4067.32,0.014512851329888252
-0.03454196825623512,4072.83,0.014294751551283683
-0.04321349039673805,4078.34,0.013681061619136679
-0.057136040180921555,4083.87,0.014476822542209626
-0.07764828205108643,4089.4,0.016530264616273573
-0.10388209670782089,4094.94,0.017500434498499605
-0.13480085134506226,4100.49,0.01719410040045865
-0.17050527036190033,4106.04,0.017092127673315204
-0.21165026724338531,4111.61,0.016147831177226298
-0.25654780864715576,4117.18,0.016538044176088968
-0.2998586595058441,4122.75,0.01522197104486981
-0.3336012363433838,4128.34,0.015191144173918163
-0.3505275249481201,4133.93,0.01561071606398855
-0.3489605784416199,4139.53,0.01545164353273134
-0.3343798518180847,4145.14,0.015229571170634552
-0.31719788908958435,4150.75,0.015679178403953345
-0.3071899116039276,4156.38,0.01567608313144805
-0.3083982765674591,4162.01,0.015332084234891232
-0.3171534240245819,4167.65,0.01511359640860987
-0.3249337673187256,4173.29,0.014044160656723882
-0.32392361760139465,4178.95,0.012940484510679815
-0.31168434023857117,4184.61,0.010471926951467628
-0.2923071086406708,4190.28,0.010904671931497368
-0.27354171872138977,4195.95,0.0100411219118172
-0.26193785667419434,4201.64,0.009812779168785287
-0.2596050202846527,4207.33,0.00992417218558457
-0.26370811462402344,4213.03,0.009676392613830562
-0.2690907120704651,4218.74,0.009768475855316622
-0.27146172523498535,4224.45,0.009704701494723172
-0.26922187209129333,4230.18,0.00946198744044545
-0.26303088665008545,4235.91,0.009402200884460771
-0.2541389465332031,4241.64,0.009370452534922488
-0.24296803772449493,4247.39,0.009390541456436868
-0.22919602692127228,4253.14,0.009181302961681348
-0.21263617277145386,4258.91,0.009038463483142163
-0.1943167895078659,4264.68,0.008838771052216159
-0.1761818677186966,4270.45,0.00824211453211566
-0.15991470217704773,4276.24,0.008986996829270994
-0.1459805965423584,4282.03,0.008131590370162577
-0.13328619301319122,4287.83,0.007694465466510503
-0.12037362158298492,4293.64,0.009543699640436769
-0.10682584345340729,4299.46,0.009546014488964591
-0.09393236041069031,4305.28,0.010500994504675138
-0.08391106873750687,4311.12,0.010883268230145968
-0.07859282940626144,4316.96,0.010113659408312284
-0.07821591198444366,4322.8,0.01038597002329346
-0.08169934898614883,4328.66,0.010096674885775729
-0.08789203315973282,4334.52,0.009969608265711773
-0.0968068540096283,4340.4,0.010066852116775209
-0.10964398086071014,4346.28,0.010200971016863533
-0.12760277092456818,4352.16,0.010104722638586205
-0.1503414660692215,4358.06,0.009522386675855813
-0.17515568435192108,4363.96,0.009531902902232374
-0.198248490691185,4369.88,0.009292735279702195
-0.2164623886346817,4375.8,0.009907422207133754
-0.22912462055683136,4381.72,0.010253519796419565
-0.23787890374660492,4387.66,0.009812060196981923
-0.24483197927474976,4393.6,0.009742431645050483
-0.2506590783596039,4399.56,0.009792834783679623
-0.25374504923820496,4405.52,0.011441275105105824
-0.2515013813972473,4411.49,0.011681290256582922
-0.24265038967132568,4417.46,0.010987405170196708
-0.22874101996421814,4423.45,0.010882881669978361
-0.21362346410751343,4429.44,0.011762620235818366
-0.200753316283226,4435.44,0.011490560607328212
-0.1904810667037964,4441.45,0.011045828851473762
-0.17919038236141205,4447.46,0.010045869417224771
-0.16118480265140533,4453.49,0.012325917919364977
-0.13248974084854126,4459.52,0.010934327796923857
-0.09361634403467178,4465.56,0.011318376704043998
-0.049716766923666,4471.61,0.01118696475255414
-0.0075735473074018955,4477.67,0.010813358698899073
0.02858111821115017,4483.74,0.010606670669155509
0.05960545688867569,4489.81,0.01066293255076196
0.09082061797380447,4495.89,0.01133464884607151
0.1281404048204422,4501.98,0.01066338597412045
0.1740022599697113,4508.08,0.009963346433856017
0.22548151016235352,4514.19,0.010299584606704444
0.27586492896080017,4520.31,0.011000745243621006
0.3185124099254608,4526.43,0.011888655986746181
0.35076066851615906,4532.56,0.012305212264120307
0.3746648132801056,4538.7,0.0149346600858748
0.39496439695358276,4544.85,0.014791384245329215
0.41540682315826416,4551.01,0.015129527304263769
0.4359959065914154,4557.17,0.01628634304980336
0.45311275124549866,4563.35,0.016526757509923815
0.46181949973106384,4569.53,0.014885187982797959
0.45930802822113037,4575.72,0.015089226890914326
0.44650790095329285,4581.92,0.014901694854698732
0.4273425340652466,4588.13,0.014803309891649232
0.4061604142189026,4594.34,0.014518388078136789
0.3850172162055969,4600.57,0.013906220348417753
0.36303961277008057,4606.8,0.012138508004596683
0.3374249339103699,4613.04,0.013441017161835352
0.30586519837379456,4619.29,0.012540213860993285
0.26820454001426697,4625.55,0.010881900818012625
0.22650974988937378,4631.81,0.009840827191573184
0.18328796327114105,4638.09,0.010675355501639774
0.14013926684856415,4644.37,0.014150664444537515
0.09658907353878021,4650.66,0.014793058544450932
0.051310017704963684,4656.96,0.015059498743914428
0.004031043499708176,4663.27,0.015303849864570849
-0.042832087725400925,4669.59,0.016061304872497063
-0.08409826457500458,4675.92,0.01612558503545472
-0.11350572854280472,4682.25,0.016629757222698393
-0.1265859752893448,4688.59,0.016411469284213852
