wvl,flux,err
4001.77,0.20262451469898224,0.06362451509343528
4007.19,0.3357205390930176,0.05130928260406804
4012.62,0.44006237387657166,0.14523090812590506
4018.06,0.491229772567749,0.13012106028953815
4023.5,0.4807588458061218,0.13254901238852
4028.95,0.4191771149635315,0.14509657776415766
4034.41,0.33182504773139954,0.13804008274778917
4039.88,0.24906083941459656,0.14454228005152375
4045.35,0.1948859691619873,0.14954567054320494
4050.83,0.17851583659648895,0.16727469231620337
4056.32,0.1930900365114212,0.16682602652320505
4061.81,0.2204907238483429,0.17203038111832963
4067.32,0.24060720205307007,0.17178095277489025
4072.83,0.23985759913921356,0.1646600701488146
4078.34,0.21614211797714233,0.16438725312470784
4083.87,0.1774362474679947,0.16698765732291285
4089.4,0.13664110004901886,0.1714997823701545
4094.94,0.10427694022655487,0.18506570630014088
4100.49,0.08405524492263794,0.1806360703341506
4106.04,0.07240907847881317,0.18112391277147336
4111.61,0.06200160086154938,0.17347223041425458
4117.18,0.047096315771341324,0.17208734143798424
4122.75,0.027234625071287155,0.2035025150016869
4128.34,0.00744938850402832,0.21023674077252316
4133.93,-0.004810445476323366,0.2163466110567037
4139.53,-0.0048570772632956505,0.2093179877482297
4145.14,0.005649917759001255,0.21166445614837606
4150.75,0.01831921562552452,0.20378752486828
4156.38,0.02158959023654461,0.19722890793045378
4162.01,0.006197195965796709,0.20482887873878722
4167.65,-0.029867587611079216,0.2027356601686787
4173.29,-0.0797312930226326,0.20680843850898362
4178.95,-0.13057489693164825,0.20210757428180695
4184.61,-0.1686173528432846,0.20016699271681845
4190.28,-0.18554838001728058,0.2026363711054595
4195.95,-0.18150904774665833,0.19901219195901135
4201.64,-0.1644107550382614,0.1858591504062849
4207.33,-0.14567042887210846,0.18447356135175344
4213.03,-0.13457901775836945,0.1837703230583718
4218.74,-0.13435237109661102,0.18540034034747602
4224.45,-0.14154785871505737,0.18950931883708536
4230.18,-0.14911241829395294,0.1517560852900682
4235.91,-0.15114137530326843,0.13938039158157672
4241.64,-0.1469072550535202,0.1237425521124721
4247.39,-0.14169837534427643,0.12320405424817951
4253.14,-0.14416801929473877,0.11852530193216067
4258.91,-0.16136878728866577,0.11869091039785327
4264.68,-0.19404444098472595,0.12848419423000318
4270.45,-0.23473592102527618,0.12174471635296501
4276.24,-0.27008625864982605,0.11960741291310317
4282.03,-0.2856582701206207,0.12160557265454462
4287.83,-0.27256420254707336,0.12429859900364759
4293.64,-0.23147346079349518,0.12400911685405766
4299.46,-0.17319191992282867,0.1163558059821167
4305.28,-0.11520541459321976,0.11639641293949846
4311.12,-0.07511566579341888,0.11663818556607249
4316.96,-0.06513515114784241,0.12298762865096238
4322.8,-0.08760876208543777,0.14129524740441127
4328.66,-0.13531866669654846,0.13903357636119953
4334.52,-0.19432376325130463,0.13244326442513657
4340.4,-0.24926568567752838,0.1323280897641213
4346.28,-0.28744742274284363,0.13345984494048513
4352.16,-0.30243706703186035,0.13817103172276457
4358.06,-0.29441210627555847,0.14246840793779392
4363.96,-0.26870980858802795,0.14822321730823068
4369.88,-0.23360444605350494,0.14651747067625182
4375.8,-0.1981845647096634,0.13398599457051055
4381.72,-0.1703222543001175,0.12949015441546613
4387.66,-0.15551988780498505,0.12537681931069097
4393.6,-0.15648919343948364,0.11881205258765277
4399.56,-0.1724579632282257,0.11622109633775549
4405.52,-0.19919128715991974,0.11707352483692714
4411.49,-0.22959206998348236,0.11957904830918165
4417.46,-0.2549769878387451,0.12723020121960588
4423.45,-0.2672833502292633,0.12705316355696186
4429.44,-0.2609146535396576,0.11961650855977563
4435.44,-0.23452626168727875,0.09892653721258224
4441.45,-0.19118286669254303,0.09639640252818617
4447.46,-0.1374540776014328,0.09675994791615856
4453.49,-0.08107971400022507,0.09797658019909511
4459.52,-0.02943757362663746,0.09637047144048215
4465.56,0.012543280608952045,0.08912614504517215
4471.61,0.042410485446453094,0.08154769189452789
4477.67,0.05975600332021713,0.06990769496260915
4483.74,0.06533937156200409,0.06632243452159586
