flux,wvl,err
0.12795893847942352,4001.77,0.0550410528619201
0.1413058042526245,4007.19,0.02849310199735351
0.14296606183052063,4012.62,0.022934583627425443
0.1281488835811615,4018.06,0.024547787212294545
0.09684919565916061,4023.5,0.02266756476764064
0.053938668221235275,4028.95,0.02224373625616658
0.007698303088545799,4034.41,0.021757372551259695
-0.033128902316093445,4039.88,0.026242147084661518
-0.06237683817744255,4045.35,0.026962821978084826
-0.07862439006567001,4050.83,0.02609839427174889
-0.08525097370147705,4056.32,0.02428322378195972
-0.08893276005983353,4061.81,0.02385971151499336
-0.09692999720573425,4067.32,0.024052764599516455
-0.11414996534585953,4072.83,0.028885289920380187
-0.14132924377918243,4078.34,0.0287147747184617
-0.17495104670524597,4083.87,0.029495503345084093
-0.20829525589942932,4089.4,0.029722781342120027
-0.23429420590400696,4094.94,0.029106807167194576
-0.24783441424369812,4100.49,0.028928730952979664
-0.24749059975147247,4106.04,0.02891569633437509
-0.23569223284721375,4111.61,0.02892336562379665
-0.21756614744663239,4117.18,0.029267696134422684
-0.19885969161987305,4122.75,0.027929220989056532
-0.18395714461803436,4128.34,0.027643309616799668
-0.17501376569271088,4133.93,0.027782217197216238
-0.1718536764383316,4139.53,0.027731346761933357
-0.17310845851898193,4145.14,0.02618176883921991
-0.17745064198970795,4150.75,0.026387961727249883
-0.18442240357398987,4156.38,0.026580873404050593
-0.1943100094795227,4162.01,0.026268552307812713
-0.20736977458000183,4167.65,0.02622190052692332
-0.2227381020784378,4173.29,0.029498820990106683
-0.2380516082048416,4178.95,0.02582400969687886
-0.2497311234474182,4184.61,0.026297520115408177
-0.25450149178504944,4190.28,0.025113251261568388
-0.2508893609046936,4195.95,0.024849309432998748
-0.24023950099945068,4201.64,0.024547963701817797
-0.22655420005321503,4207.33,0.024570201819344235
-0.21498574316501617,4213.03,0.0249823842547596
-0.20977555215358734,4218.74,0.02526159434376043
-0.21243774890899658,4224.45,0.024855513112219077
-0.2211272418498993,4230.18,0.02430861040540303
-0.23149113357067108,4235.91,0.024470969600014485
-0.2386740893125534,4241.64,0.02212491101106442
-0.23949383199214935,4247.39,0.022434921852741305
-0.23368434607982635,4253.14,0.021023131338584466
-0.2238660603761673,4258.91,0.020743736825887274
-0.2141997367143631,4264.68,0.022576852347129927
-0.20837196707725525,4270.45,0.0234248721915121
-0.20804636180400848,4276.24,0.023701422624452073
-0.21248474717140198,4282.03,0.018766202240559623
-0.21925370395183563,4287.83,0.017817799691804297
-0.2257145494222641,4293.64,0.0172990737122513
-0.23035448789596558,4299.46,0.017437098290833557
-0.23332761228084564,4305.28,0.017412424035059965
-0.23603130877017975,4311.12,0.018719075809998733
-0.23998992145061493,4316.96,0.019156131407431727
-0.24586161971092224,4322.8,0.018664668424049534
-0.2530843913555145,4328.66,0.018951752766924335
-0.26025938987731934,4334.52,0.019437210364868604
-0.2661641538143158,4340.4,0.019768593633584085
-0.2704699635505676,4346.28,0.020242825338805302
-0.27397316694259644,4352.16,0.020332657547083466
-0.27795660495758057,4358.06,0.02001218872414199
-0.2831379771232605,4363.96,0.02016417836181924
-0.28893882036209106,4369.88,0.02006207100756379
-0.2933977544307709,4375.8,0.0179116346030497
-0.2940804958343506,4381.72,0.017823488623504396
-0.2893576920032501,4387.66,0.017614874751645027
-0.2794332504272461,4393.6,0.017559394751184617
-0.26645222306251526,4399.56,0.017675890516579026
-0.25365832448005676,4405.52,0.01978638650231037
-0.24366936087608337,4411.49,0.021110531197189534
-0.23709431290626526,4417.46,0.021153099471478445
-0.23191162943840027,4423.45,0.0190442591235502
-0.22426562011241913,4429.44,0.02069997762344168
-0.21007156372070312,4435.44,0.020770476664211498
-0.18691788613796234,4441.45,0.021065580909870065
-0.15526656806468964,4447.46,0.019693933234898608
-0.11814701557159424,4453.49,0.01970394299389935
-0.08018910884857178,4459.52,0.020306320662008492
-0.045373380184173584,4465.56,0.020122139466456378
-0.015708966180682182,4471.61,0.01884664274418059
0.009350255131721497,4477.67,0.019321091283184877
0.03224674239754677,4483.74,0.019316715880586078
0.05583570897579193,4489.81,0.01918521839771946
0.0820138156414032,4495.89,0.01922346565031257
0.11081090569496155,4501.98,0.01901736906209488
0.14060945808887482,4508.08,0.017876952550858995
0.1691005378961563,4514.19,0.017885484545982468
0.19445055723190308,4520.31,0.016515198766979003
0.21602945029735565,4526.43,0.015597433067764427
0.23454223573207855,4532.56,0.01675370485394483
0.25124645233154297,4538.7,0.01677277571232765
0.26711469888687134,4544.85,0.014493611802515056
0.2822253406047821,4551.01,0.014205206035312749
0.29572394490242004,4557.17,0.01565211652933919
0.30645978450775146,4563.35,0.01573224177685284
0.3135933578014374,4569.53,0.02011517516673783
0.31727319955825806,4575.72,0.019855997437037556
0.31855309009552,4581.92,0.018943254867351704
0.3188954293727875,4588.13,0.019071139372972345
0.319425106048584,4594.34,0.0191487961567369
0.32037419080734253,4600.57,0.019141391446508095
0.32101133465766907,4606.8,0.019096241201774746
0.32010167837142944,4613.04,0.020380864191950506
0.3166114091873169,4619.29,0.020625068862702635
0.31027716398239136,4625.55,0.02044317842516728
0.3017231225967407,4631.81,0.020208418597417607
0.29197564721107483,4638.09,0.01993685859365919
0.28181126713752747,4644.37,0.0199565188615526
0.27102452516555786,4650.66,0.019784058694936674
0.25833943486213684,4656.96,0.019718136444697977
0.24188964068889618,4663.27,0.020552601257441887
0.22017797827720642,4669.59,0.020938328092091035
0.1930612027645111,4675.92,0.018316640338738914
0.16230179369449615,4682.25,0.016955682784566904
0.13111700117588043,4688.59,0.014899597976258377
