flux,wvl,err
0.1143055334687233,4001.77,0.005694462426899111
0.1346820890903473,4007.19,0.02929833216141709
0.12875840067863464,4012.62,0.03430323049670701
0.09859989583492279,4018.06,0.029978578673400477
0.05317562818527222,4023.5,0.03914857107029403
0.004716032650321722,4028.95,0.03934558499011587
-0.035482387989759445,4034.41,0.050977414344301746
-0.06096317991614342,4039.88,0.05440046929323818
-0.07192441821098328,4045.35,0.052489759658901194
-0.07438258081674576,4050.83,0.05007550957090725
-0.0771235004067421,4056.32,0.05107127505408998
-0.08793042600154877,4061.81,0.05055029987835591
-0.11068753898143768,4067.32,0.04860307380064328
-0.14403577148914337,4072.83,0.048414074964792414
-0.18263795971870422,4078.34,0.04840307132311952
-0.219856858253479,4083.87,0.05084944183105073
-0.25018927454948425,4089.4,0.05177984394347193
-0.2716706097126007,4094.94,0.04997034992606069
-0.2859441637992859,4100.49,0.04903803931572442
-0.2970684766769409,4106.04,0.048637838060734295
-0.30948835611343384,4111.61,0.051519505194513274
-0.3259040117263794,4117.18,0.040870739603802025
-0.3463544249534607,4122.75,0.042098433508361885
-0.36847931146621704,4128.34,0.03778168897389049
-0.3884557783603668,4133.93,0.04200508046613508
-0.40277761220932007,4139.53,0.04117838578938656
-0.40929514169692993,4145.14,0.041563210422797654
-0.40773510932922363,4150.75,0.04346972931820655
-0.3994637429714203,4156.38,0.04431218757001353
-0.38683196902275085,4162.01,0.04586204755256549
-0.37246257066726685,4167.65,0.046410148947295386
-0.3588692843914032,4173.29,0.046254413110166426
-0.3481806218624115,4178.95,0.046028220011013504
-0.342221200466156,4184.61,0.049193786071076676
-0.34217965602874756,4190.28,0.0471962278753425
-0.34832778573036194,4195.95,0.04495747506716434
-0.3596705496311188,4201.64,0.04655205710784748
-0.37376612424850464,4207.33,0.04727860390545225
-0.38719412684440613,4213.03,0.04635302096297772
-0.3963838517665863,4218.74,0.04351650615667121
-0.39874500036239624,4224.45,0.04518015254901278
-0.3936047852039337,4230.18,0.04479997653243525
-0.38242197036743164,4235.91,0.04454238637679165
-0.36822906136512756,4241.64,0.039871006789286
-0.3543112874031067,4247.39,0.039891858874658
-0.3430000841617584,4253.14,0.03733802731339398
-0.33458104729652405,4258.91,0.03585146957729407
-0.32741254568099976,4264.68,0.03441117999624509
-0.3186682164669037,4270.45,0.03231614254184357
-0.3057357966899872,4276.24,0.03163452268508035
-0.2875923216342926,4282.03,0.033089326705110195
-0.2653161585330963,4287.83,0.03504471054383912
-0.24187017977237701,4293.64,0.03058908172275851
-0.2210472822189331,4299.46,0.03023983089132062
-0.20617766678333282,4305.28,0.030226681952049275
-0.19898663461208344,4311.12,0.02797264003276138
-0.19944368302822113,4316.96,0.02684886719952737
-0.20597614347934723,4322.8,0.0273195395549786
-0.2164083868265152,4328.66,0.0288731406908751
-0.2286592274904251,4334.52,0.026220720983276356
-0.2412489652633667,4340.4,0.025638865358576034
-0.25309374928474426,4346.28,0.02636409643702687
-0.2633042335510254,4352.16,0.030593474960713397
-0.2709347903728485,4358.06,0.03074186340101482
-0.2750050127506256,4363.96,0.03177683116367427
-0.2751055061817169,4369.88,0.0324012239422124
-0.2718966007232666,4375.8,0.03120256775359746
-0.2673739492893219,4381.72,0.029933935495605274
-0.2643517255783081,4387.66,0.029860700231385987
-0.2653737962245941,4393.6,0.032528797605774804
-0.2712642252445221,4399.56,0.034123483460154216
-0.2800975739955902,4405.52,0.03414931284585284
-0.28719621896743774,4411.49,0.03476227881322464
-0.28633397817611694,4417.46,0.034983061687252216
-0.27191776037216187,4423.45,0.036129139682898666
-0.24130989611148834,4429.44,0.037778024991433005
-0.19628535211086273,4435.44,0.03766649371192932
-0.14301349222660065,4441.45,0.03759597700927828
-0.09040594100952148,4447.46,0.03958486548409452
-0.04684025049209595,4453.49,0.03935621437983229
-0.01772918738424778,4459.52,0.042990626163244325
-0.002942805178463459,4465.56,0.044200856506134284
0.0030213838908821344,4471.61,0.04362567395595961
0.009362592361867428,4477.67,0.043777453192966206
0.025872614234685898,4483.74,0.042511917719710406
0.05953099578619003,4489.81,0.04273047294254249
0.11218427121639252,4495.89,0.042898286731492256
0.1798335462808609,4501.98,0.043969247279922394
0.2538546025753021,4508.08,0.04359251116455353
0.3236143887042999,4514.19,0.04258770405383014
0.37957853078842163,4520.31,0.043200288564335936
0.41584908962249756,4526.43,0.042735008810625016
0.4317488670349121,4532.56,0.043049974580261316
0.43128809332847595,4538.7,0.041370659951871024
0.42174774408340454,4544.85,0.040834826257926705
0.41137784719467163,4551.01,0.04272245255926236
0.4070294499397278,4557.17,0.04129571750932529
0.4122975468635559,4563.35,0.0386286492173359
0.4267645478248596,4569.53,0.03911048645439413
0.4463038742542267,4575.72,0.031027109368502177
0.46442508697509766,4581.92,0.03125000911238911
0.47423550486564636,4588.13,0.03120910796077559
0.4705282747745514,4594.34,0.03604485262147364
0.4513973891735077,4600.57,0.035839180060556815
0.4189031422138214,4606.8,0.03616904454515662
0.3784410357475281,4613.04,0.03488626913068847
0.33715489506721497,4619.29,0.034698644949916584
0.30170074105262756,4625.55,0.03441189004291004
0.2761959135532379,4631.81,0.033557717268473876
0.260833203792572,4638.09,0.033471571602481175
0.25234347581863403,4644.37,0.03376588750228004
0.24522258341312408,4650.66,0.03275782437078929
0.2341492474079132,4656.96,0.0343536121372575
0.21612104773521423,4663.27,0.0343391004518461
0.1916530877351761,4669.59,0.03308989065144109
0.16448378562927246,4675.92,0.03311973436951816
0.1399189978837967,4682.25,0.03328518974108347
0.12228928506374359,4688.59,0.033070323298229024
