wvl,flux,err
4001.77,0.23203018307685852,0.020969808536276613
4007.19,0.2371603399515152,0.026599972660664654
4012.62,0.24039798974990845,0.049641640957747105
4018.06,0.2461506426334381,0.05087893865525146
4023.5,0.2562626898288727,0.04525234930528786
4028.95,0.27008217573165894,0.044769798624285866
4034.41,0.284913033246994,0.05171986435019685
4039.88,0.2970667779445648,0.05077561624531348
4045.35,0.3032083213329315,0.04955869380188343
4050.83,0.30141520500183105,0.04758223224267148
4056.32,0.29121267795562744,0.0482136857552977
4061.81,0.2726554274559021,0.048636128539372964
4067.32,0.2447739839553833,0.04548467103085125
4072.83,0.2053651660680771,0.047084497811884285
4078.34,0.15205395221710205,0.045860921949969866
4083.87,0.08501646667718887,0.04859500825247796
4089.4,0.01070152223110199,0.04577316811826512
4094.94,-0.05819365382194519,0.04669618578417893
4100.49,-0.10526074469089508,0.047715265872682634
4106.04,-0.11692333966493607,0.04645247452851705
4111.61,-0.08945471793413162,0.04663136841779506
4117.18,-0.03285445272922516,0.04527172657487899
4122.75,0.031341634690761566,0.045090295394129926
4128.34,0.07824654877185822,0.04633892616868249
4133.93,0.08926647901535034,0.04803159695158844
4139.53,0.06053179129958153,0.05458840623875111
4145.14,0.003746884409338236,0.05527325113517879
4150.75,-0.05951337888836861,0.05459612961719626
4156.38,-0.10824232548475266,0.054561131611765366
4162.01,-0.13009071350097656,0.05566763229559308
4167.65,-0.1253836452960968,0.05449847615522639
4173.29,-0.10360882431268692,0.05473544638378361
4178.95,-0.07643253356218338,0.05305692570802998
4184.61,-0.05187598615884781,0.05693306725615893
4190.28,-0.03230581432580948,0.055606909631860754
4195.95,-0.017457466572523117,0.05609659181925665
4201.64,-0.008680297061800957,0.0588043047278611
4207.33,-0.011058906093239784,0.05788433014905271
4213.03,-0.030621152371168137,0.058007765243041236
4218.74,-0.0687146931886673,0.05964000484272218
4224.45,-0.11727023124694824,0.060383545162496055
4230.18,-0.15975478291511536,0.05489313530602731
4235.91,-0.17752470076084137,0.0539942791368393
4241.64,-0.16021735966205597,0.05509980887240775
4247.39,-0.11231954395771027,0.04749466174167467
4253.14,-0.05261289328336716,0.04921295618376648
4258.91,-0.004923372529447079,0.04849168735400929
4264.68,0.013742882758378983,0.05415463480682295
4270.45,0.002747875638306141,0.054656610483924895
4276.24,-0.022854413837194443,0.0547856238013628
4282.03,-0.04164062812924385,0.05498040634769309
4287.83,-0.039201874285936356,0.05507008405332304
4293.64,-0.017048895359039307,0.05010651259243519
4299.46,0.008166026324033737,0.056648126266507136
4305.28,0.01506063248962164,0.05676310211273589
4311.12,-0.008498379029333591,0.05671742113306574
4316.96,-0.05674568936228752,0.056586834265344735
4322.8,-0.10794021189212799,0.05682814317151283
4328.66,-0.1366986632347107,0.05528752304725379
4334.52,-0.12842047214508057,0.054344832253204
4340.4,-0.08892342448234558,0.0533185887464179
4346.28,-0.04218772426247597,0.055429450648254865
4352.16,-0.01774010621011257,0.05739730610234748
4358.06,-0.034849863499403,0.058005526576028206
4363.96,-0.09275650233030319,0.05472114989020071
4369.88,-0.1715192347764969,0.06461855785337695
4375.8,-0.2422986626625061,0.06311455885157068
4381.72,-0.28209444880485535,0.06214167170654972
4387.66,-0.2831878364086151,0.06433709017944714
4393.6,-0.2532813251018524,0.06572870088851095
4399.56,-0.20860430598258972,0.06571638442962488
4405.52,-0.1645880937576294,0.06702927196695728
4411.49,-0.12971849739551544,0.06129307500357326
4417.46,-0.10623349249362946,0.061627699403282284
4423.45,-0.09440070390701294,0.062009929422517984
4429.44,-0.0966888964176178,0.06270631888876162
4435.44,-0.11707721650600433,0.06207107633499277
4441.45,-0.15659357607364655,0.06224459145109877
4447.46,-0.20826949179172516,0.0629344871820071
4453.49,-0.25695523619651794,0.0626542914909932
4459.52,-0.2845684885978699,0.06184988259090807
4465.56,-0.2800996005535126,0.05951481277209139
4471.61,-0.2464427351951599,0.0631947322242798
4477.67,-0.20022302865982056,0.06645190879467547
4483.74,-0.16315242648124695,0.056276616412834206
4489.81,-0.14951197803020477,0.05500710740156672
4495.89,-0.15704455971717834,0.055820587827851334
4501.98,-0.16769829392433167,0.05263128287959824
4508.08,-0.1577134132385254,0.05114914759076045
4514.19,-0.11184048652648926,0.05096181706057912
4520.31,-0.03321874141693115,0.052174324687116094
4526.43,0.05701834335923195,0.048496274979667436
4532.56,0.13117192685604095,0.04882535090392373
4538.7,0.16960619390010834,0.04729012895557977
4544.85,0.17121542990207672,0.04970460046955788
4551.01,0.15332499146461487,0.050179963746103215
4557.17,0.14145489037036896,0.049976561554161754
4563.35,0.1550307422876358,0.04942158803922743
4569.53,0.19769608974456787,0.04800957085396362
4575.72,0.25699421763420105,0.051624405744080434
4581.92,0.31286460161209106,0.05253409006264261
4588.13,0.3489261567592621,0.04705618553428573
4594.34,0.3596797585487366,0.04366791936422961
4600.57,0.3500838875770569,0.04261533507337797
4606.8,0.32878461480140686,0.043768832821183795
4613.04,0.3010842502117157,0.042431456096508224
4619.29,0.266557514667511,0.04217608155216839
4625.55,0.22286568582057953,0.042157207529472836
4631.81,0.172425776720047,0.04629951411205652
4638.09,0.12575289607048035,0.041786725771683166
4644.37,0.09881631284952164,0.04192719464867196
4650.66,0.10343370586633682,0.044674647573376386
4656.96,0.13820333778858185,0.04942049518983159
4663.27,0.1853388100862503,0.047303608734857124
4669.59,0.21728697419166565,0.04681983905144332
4675.92,0.2105168253183365,0.046112152057034624
4682.25,0.15914876759052277,0.04594645887082964
4688.59,0.08004236966371536,0.046254875085754474
4694.94,0.00583829777315259,0.0436485326035948
4701.3,-0.03087916597723961,0.042567869904884925
4707.67,-0.014222059398889542,0.042682226393892485
4714.05,0.04658552631735802,0.040890178678239145
4720.44,0.12161605060100555,0.04160458510968703
4726.83,0.17503678798675537,0.041538876905346966
4733.24,0.18295252323150635,0.04169989043460773
4739.65,0.14372509717941284,0.04412785320581182
4746.07,0.07766565680503845,0.04560974124505924
4752.5,0.015537773258984089,0.04220783989185886
4758.94,-0.016633065417408943,0.04381604346467052
4765.38,-0.009120382368564606,0.04406285868656342
4771.84,0.02873583696782589,0.04217052811194321
4778.3,0.07466016709804535,0.03645214663477772
4784.78,0.10437376797199249,0.03707894914817006
4791.26,0.1010347232222557,0.04599921396188074
4797.75,0.06062043458223343,0.04695961481672514
4804.25,-0.008995013311505318,0.050103724515234045
4810.76,-0.09224928915500641,0.04980930564012219
4817.28,-0.17110367119312286,0.049642138223791536
4823.8,-0.22928322851657867,0.04923890828023429
4830.34,-0.25576460361480713,0.04937318633805091
4836.88,-0.24634835124015808,0.04919601088312234
4843.43,-0.20564031600952148,0.04916996293405732
4849.99,-0.14664800465106964,0.04715486730880273
4856.56,-0.08826617896556854,0.04732176377119563
4863.14,-0.04999355599284172,0.04803122200801071
4869.73,-0.045407067984342575,0.046959796142947596
4876.33,-0.07707314938306808,0.04747789991741768
4882.94,-0.13543587923049927,0.043452597784691446
4889.55,-0.20241470634937286,0.0491414622170322
4896.17,-0.25868135690689087,0.048424311247542505
4902.81,-0.2903222143650055,0.048455667558189836
4909.45,-0.2923373878002167,0.0484649024784432
4916.1,-0.2682259976863861,0.04395159997463155
4922.76,-0.22542376816272736,0.04848630323979031
4929.43,-0.17055781185626984,0.044648341591656614
4936.11,-0.10676608234643936,0.04611878540309563
4942.79,-0.03437988832592964,0.046105695081500905
4949.49,0.04667622596025467,0.04744047723274202
4956.2,0.1334836184978485,0.046560350646455285
4962.91,0.2196253538131714,0.04659002716538023
4969.63,0.2972307801246643,0.04959153492446493
4976.37,0.35967394709587097,0.05149114241977424
4983.11,0.4035767614841461,0.053993263035554864
4989.86,0.4295971989631653,0.05265304828486122
4996.62,0.4400227665901184,0.055075996643110046
5003.39,0.436198353767395,0.054563733091397275
5010.17,0.4168876111507416,0.05386769983835463
5016.95,0.3787953555583954,0.04590774486481173
5023.75,0.31868040561676025,0.04631644498847864
5030.55,0.2365284562110901,0.04722400938021449
5037.37,0.1367303878068924,0.047962629339430185
5044.19,0.028765741735696793,0.04516502910852657
5051.03,-0.07571014761924744,0.037418069702611294
5057.87,-0.16441188752651215,0.03721004228836163
5064.72,-0.22798286378383636,0.03870558490435906
5071.58,-0.26094239950180054,0.038957171154563645
5078.45,-0.26245594024658203,0.037883630966003945
5085.33,-0.2361586093902588,0.037634822592377784
5092.22,-0.18936872482299805,0.03832718295990101
5099.12,-0.13173581659793854,0.03716428174802534
5106.03,-0.07338357716798782,0.036882711699252134
5112.95,-0.022846592590212822,0.035080686771406445
5119.87,0.014559198170900345,0.03810255477854043
5126.81,0.03764663636684418,0.03451990163636847
5133.75,0.048330143094062805,0.033474469866291275
